vertex,u
127,0.1490154516523525
128,0.11746178742863392
129,0.084509533609594983
130,0.050858986486521311
131,0.017162480448672936
132,-0.015993529299603539
133,-0.048084941981529551
134,-0.078653654746727614
135,-0.10730788391526579
136,-0.1337142474899872
137,-0.15758594440327059
138,-0.1786944893106068
139,-0.19684568486470677
140,-0.21189148051025414
141,-0.22370841685091214
142,-0.23221081699684379
143,-0.23733521477878194
144,-0.23904831030926743
145,-0.23733511985885006
146,-0.23221015177037935
147,-0.22370688811980863
148,-0.2118902253159777
149,-0.19684443798228446
150,-0.17869258095765961
151,-0.15758517293306706
152,-0.1337112709686456
153,-0.10730954028643161
154,-0.078655759069770903
155,-0.048085656273214955
156,-0.015994258172563527
157,0.01716168875606049
158,0.050859623659062769
159,0.084509480578035104
160,0.11746138470178513
161,0.14901596714372981
162,0.17843451910355848
163,0.20496685760296035
164,0.22788714461579773
165,0.24651665770084741
166,0.26027869289309746
167,0.26872369263561274
168,0.27157275345354465
169,0.26872369223100678
170,0.26027869270830589
171,0.24651665760807492
172,0.22788714456412046
173,0.20496685756802882
174,0.17843451906962418
175,0.14901596715176532
176,0.1174613847032437
177,0.084509480576543436
178,0.050859623655709577
179,0.017161688751621221
180,-0.015994258177231803
181,-0.048085656277766335
182,-0.078655759074136841
183,-0.10730954028905594
184,-0.13371127097077096
185,-0.15758517293443763
186,-0.17869258095819837
187,-0.19684443798242013
188,-0.21189022531746787
189,-0.22370688812758413
190,-0.23221015177726093
191,-0.23733511986257064
192,-0.23904699498102186
193,-0.23733637658260051
194,-0.23221128055276907
195,-0.22370772730922081
196,-0.21188743055025833
197,-0.19684459513901575
198,-0.17869139466848075
199,-0.15758389771107836
200,-0.13371476409839297
201,-0.1073092488518618
202,-0.078655942114880251
203,-0.048084396036814581
204,-0.015995272218868418
205,0.017161590168985684
206,0.050857806311535372
207,0.084510005093108562
208,0.1174613156718006
209,0.14901557779570213
210,0.17843301070688436
211,0.2049668551580589
212,0.22788563207633139
213,0.24651817335781792
214,0.26027981770193148
215,0.26872657118660676
216,0.27157473930905757
217,0.26872657110586917
218,0.26027981762248725
219,0.24651817329708151
220,0.22788563203489354
221,0.20496685513409504
222,0.17843301070202294
223,0.14901557776093075
224,0.11746131565075119
225,0.084510005078914416
226,0.050857806300887987
227,0.017161590160207973
228,-0.015995272226706304
229,-0.048084396044368316
230,-0.07865594212273197
231,-0.10730924886059472
232,-0.13371476410881517
233,-0.15758389772400153
234,-0.17869139468458936
235,-0.19684459515845135
236,-0.21188743057164461
237,-0.22370772732754673
238,-0.23221128055494916
239,-0.23733637658131171
240,-0.23905050962436863
241,-0.23733793266831754
242,-0.23221178640682957
243,-0.22370796837041637
244,-0.21189012150035555
245,-0.19684543142126631
246,-0.17869320446456888
247,-0.15758602201896615
248,-0.13371427833583585
249,-0.10730921503739647
250,-0.078656464862471465
251,-0.048085840476152088
252,-0.015994598866214852
253,0.017161130006563691
254,0.050858585375901343
255,0.084509972610066167
256,0.117462204661021
257,0.14901598557918899
258,0.17843432377254195
259,0.20496818082793464
260,0.22788634362522689
261,0.2465181816976105
262,0.26027736951702901
263,0.26872352992593573
264,0.27157065474979319
265,0.26872352990307613
266,0.26027736948497965
267,0.24651818166585862
268,0.22788634359911014
269,0.20496818080724874
270,0.17843432375577586
271,0.14901598556201839
272,0.11746220464624378
273,0.084509972597925614
274,0.050858585365944044
275,0.017161129998207937
276,-0.015994598873559241
277,-0.048085840483126287
278,-0.07865646486988033
279,-0.10730921504639306
280,-0.13371427834822616
281,-0.15758602203769911
282,-0.17869320449460091
283,-0.19684543147108741
284,-0.21189012158470649
285,-0.22370796851518968
286,-0.2322117862915023
287,-0.23733793261904712
288,-0.23904625404219407
289,-0.23733470744752955
290,-0.2322083785716455
291,-0.22370810206719574
292,-0.21188964272037003
293,-0.19684576436313045
294,-0.17869189313596456
295,-0.15758565373681807
296,-0.13371384121547802
297,-0.10731027444840019
298,-0.078656072449920927
299,-0.048084572403153739
300,-0.015995138030667554
301,0.017161047763161876
302,0.05085814265250687
303,0.084509315553806821
304,0.11746215161386522
305,0.14901482143901382
306,0.178433128626241
307,0.20496593004444852
308,0.227885002068204
309,0.24651718190450714
310,0.26027840853328216
311,0.26872451320833268
312,0.27157166917197406
313,0.26872451319921004
314,0.26027840851741807
315,0.24651718188343455
316,0.22788500205772214
317,0.20496593003219513
318,0.17843312861422667
319,0.14901482142775077
320,0.11746215160393067
321,0.084509315545475278
322,0.050858142645847988
